Topic Name,Top Words
"""Musical Performance in Sportswear: Exploring the Human Leg and Flash Photography""","Thigh, Knee, Entertainment, Leg, Performing arts, Music, Sportswear, Shorts, Elbow, Waist, Chest, Flash photography, Microphone, T-shirt, Brassiere, Musician, Sleeve, Leisure, Human leg, Muscle, Music artist, Gesture, Joint, Audio equipment, Fun"
"""Cozy Home Decor: Wood, Furniture, and Natural Elements""","Wood, Comfort, Interior design, Flooring, Table, Plant, Furniture, Window, Building, Parallel, Floor, Lighting, Chair, Tints and shades, Couch, Tableware, Flowerpot, Document, Decoration, Houseplant, Textile, Paper product, Property, Paper, Hardwood"
"""Graphic Design for Brand Promotion on Social Media""","Font, Electric blue, Brand, Rectangle, Circle, Event, Logo, Graphics, Magenta, Number, Screenshot, Advertising, Darkness, Art, Publication, Poster, Pattern, Purple, Product, Terrestrial plant, Graphic design, Photo caption, Entertainment, Violet, Sharing"
"""Delicious Dishes and Drinks: Exploring the World of Natural Cuisine""","Food, Ingredient, Tableware, Recipe, Cuisine, Dish, Produce, Dishware, Plate, Baked goods, Staple food, Natural foods, Serveware, Leaf vegetable, Plant, Table, Drinkware, Cake, Cooking, Fast food, Drink, Fines herbes, Vegetable, Sweetness, Liquid"
"""Sports Uniforms and Gear in Action: A Snapshot of a Baseball Game""","Sports uniform, Player, Jersey, Sports equipment, Gesture, Sports jersey, Sports gear, Baseball player, Bat-and-ball games, Shorts, Ball game, Helmet, Sportswear, Competition event, Sleeve, Hat, Baseball cap, Grass, Cup, Cricketer, One day international, Batting glove, Fan, Glove, Smile"
"""Exploring the City in a Luxury Car: Automotive Design and Exterior Features""","Vehicle, Car, Automotive design, Motor vehicle, Tire, Wheel, Hood, Automotive tire, Automotive lighting, Sky, Grille, City, Automotive exterior, Steering wheel, Plant, Building, Window, Steering part, Personal luxury car, Vehicle registration plate, Daytime, Vehicle door, Cloud, Travel, Car seat cover"
"""Portrait Photography and Fashion: Exploring the Human Body and Expressions""","Shoulder, Neck, Sleeve, Flash photography, Joint, Waist, Hair, Eyelash, Arm, Smile, Hairstyle, Lip, Thigh, Skin, Leg, Fashion, Hand, Human body, Face, Dress, Gesture, Muscle, Happy, Head, Eye"
"""Joyful Fashion Showcase: Capturing the Elegance of a Pink Day Dress on the Red Carpet""","Fashion design, Waist, Sleeve, Flash photography, Dress, Thigh, Formal wear, Smile, One-piece garment, Happy, Gown, Textile, Entertainment, Event, Neck, Shoulder, Trunk, Flooring, Pink, Land vehicle, Fashion, Black hair, Performing arts, Day dress, Magenta"
"""Joyful Fashion and Eyewear at a Fun Event""","Smile, Happy, Eyewear, Fun, Event, Sleeve, Gesture, Vision care, Sunglasses, Leisure, Beard, Glasses, Goggles, Cool, Flash photography, Hat, T-shirt, Formal wear, Suit, Human, Plant, Fashion design, Collar, Blazer, Fashion"
"""Nature's Oasis: Exploring Azure Skies and Lush Landscapes with Happy People and Playful Pups""","Sky, Plant, Tree, People in nature, Water, Cloud, Happy, Leisure, Grass, Travel, Azure, Flash photography, Building, Landscape, Natural landscape, Green, Thigh, Smile, Carnivore, Blue, Swimming pool, Sports, Sunlight, Dog, People on beach"
"""Facial Features and Expressions in Art and Fashion""","Eyebrow, Chin, Forehead, Jaw, Lip, Eyelash, Nose, Skin, Mouth, Cheek, Fruit, Art, Alloy wheel, Smile, Hairstyle, Head, Cartoon, Beard, Facial expression, Gesture, Ear, Visual arts, Organ, Hair, Triangle"
